,Place type,Name,Place list,Capacity,Fee,Altitude,Description,Telephone,Website,Email,Hiking association,Guard name(s),Services,Coordinates,Acces,Zones,Emplacement,Nearby routes
0,Shelter,Refugio forestal de Margalida,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",8 beds,Free to use,1434m,"Highway N-260 to Campo (Huesca). From Campo carretera (HF-0145aa) towards Llert, shortly before reaching a track on the right, it deviated approximately 5 km towards the Margalida refuge.",?,?,?,?,?,"['Drinking water', 'Fireplace']",Latitude: 42.4289 Longitude: 0.441785,[],['Zone:Valle de Llerp'],[],"['PR-HU 115 Puén Pecadó-Ibones del Sen', 'GR-19.1 Senderos del Sobrarbe. Variante por Bielsa', 'PR-HU 37', 'PR-HU 48', 'Ruta 3 Valls. Etapa 1: El Pont de Suert => Erill la Vall', 'Ruta 3 Valls. Etapa 4: Castanesa => El Pont de Suer']"
1,Shelter,Refugi d’Amitges (lliure),"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",12 beds,Free to use,2380m,"Refuge of high mountain (2,380 m) of the CEC located in the National Park of Aigüestortes and Estany de Sant Maurici.",tel:+34 973 250 109,https://www.amitges.com,mailto:info@amitges.com,CEC,?,"['Blankets', 'Emergency radio', 'Heating', 'WC']",Latitude: 42.5967 Longitude: 0.984633,"['Access on foot:In summer you will arrive by private car to the parking lot at the entrance to the National Park of Aigüestortes and Estany de Sant Maurici (Prats de Pierró). From here you can continue on foot to Sant Maurici Lake by a well-indicated path (""L\'isard route"", 1 h.) And, from Sant Maurici to Amitges, continue along a track, also well indicated (1.45 h.). There is the option to take the Taxis service (973 624 105) to go up to Sant Maurici, Ratera Lake, or the same shelter.\r\rIn the heart of winter, you can not go by car to the parking lot due to snow and ice that cover part of the road. It can be very dangerous: inform yourself before trying. Leave the car to Espot. ', 'Access by car:On the C-13 road to the junction of the reservoir of La Torrassa and, from there, along the LV-5004 to the village of Espot.']",['Zone:Parc Nacional d’Aigüestortes i Estany de Sant Maurici'],['Emplacement:Prats de Pierró'],"['Route du Port de Salau', 'GR T 58 Tavascan - Coll de Tavascan', 'GR 11.19', 'GR 211.5', 'Ramat de Camins. Etapa 4 : Rialp => Tírvia', 'Ramat de Camins. Etapa 5 : Tírvia => Àreu', 'Ramat de Camins. Etapa 7 : Ribera de Cardós => Escaló', 'Ramat de Camins. Etapa 8 : Escaló => Llac de SantMaurici => Espot', ""Ramat de Camins. Etapa 9 : Espot => Esterri d'Àneu"", 'Ramat de Camins. Etapa 10 : Esterri d¡Àneu => Salardú', 'Ramat de Camins. Etapa 11 : Salardú => Bossòst', 'Ramat de Camins. Etapa 13 : Vielha => Refugi de Conangles', 'Ramat de Camins. Etapa 14 : Refugi de Conangles => Barruera', 'Ramat de Camins. Etapa 15 : Barruera => El Pont de Suert', 'Camin reiau', 'El Cinquè Llac. Etapa 3 : Beranui => Les Esglésies', 'Ruta 3 Valls. Etapa 3: Aneto => Castanesa', 'Ruta 3 Valls. Etapa 2: Erill la Vall => Aneto', ""El Carrilet d'Estany Gento""]"
2,Shelter,Refugio Banderillas (nuevo),"['Shelter in Spain', 'Shelter in Andalusia', 'Shelter in Jaén']",10 beds,Free to use,1980m,SITUATION,?,?,?,?,?,"['Beds', 'Fireplace', 'Table']",Latitude: 38.0125 Longitude: -2.78674,[],['Zone:Cresta de la Cuerda de las Banderillas'],[],"['Río Borosa desde la piscifactoría hasta el embalse de FEDA y Laguna de Valdeazores', 'Bosques del Sur - Etapa 4: Hornos de Segura – Montillana y Área Recreativa Los Parrales', 'Bosques del Sur - Etapa 5: Montillana y Área Recreativa Los Parrales - Casa Forestal Hoya de los Trevejiles', 'Bosques del Sur - Etapa 7: Zona de Acampada Controlada Fuente de Los Cerezos – Refugio Casa Forestal La Parra', 'Bosques del Sur - Etapa 8: Refugio Casa Forestal La Parra – Refugio Majalserbal', 'Bosques del Sur - Etapa 9: Refugio Majalserbal - Refugio Casa Forestal La Zarza', 'Bosques del Sur - Etapa 10: Refugio Casa Forestal La Zarza – La Iruela', 'Bosques del Sur - Etapa 11: Cazorla – Refugio Casa Forestal Collado Zamora', 'Bosques del Sur - Etapa 15: Refugio Casa Forestal Fuente Acero - Refugio Rambla Seca', 'Bosques del Sur - Etapa 16: Refugio Rambla Seca – Refugio Campo del Espino', 'Bosques del Sur - Etapa 17: Refugio Campo del Espino – Pontones', 'Bosques del Sur - Etapa 18: Pontones – La Toba', 'Derivacion 5 bosques del sur etapa 16', 'Derivacion 6 bosques del sur etapa 17', 'Derivacion 11 bosques del sur', 'Bosques del sur variante 2 etapa 1', 'Bosques del Sur variante 2 etapa 2', 'Bosques del sur variante 3 etapa1', 'Bosques del Sur variante 3 etapa2', 'Picón del Rey - Arroyo de los Cierzos', 'PR-A 315 Puente Herrerías - Poyos de la Mesa']"
3,Shelter,Refugio ALTO DEL PUERTO,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in León']",6 beds,Paid,1650m,?,?,?,?,?,?,[],Latitude: 42.866 Longitude: -6.82255,[],[],[],"['PR-AS 23 Pico Miravalles', 'PR-AS 24 A Faena', 'PR-AS 6 Ruta dos Ancares', 'PR-AS 26 Pallozas de Santiso', 'PR-AS 28 Ruta del Chao da Serra']"
4,Shelter,Refugio de la Porteille de Rotja,"['Shelter in France', 'Shelter in Occitanie', 'Shelter in Pyrénées-Orientales']",10 beds,Free to use,2385m,Description: Metal beds. The problem is the lack of water nearby (humidity inside in),?,?,?,?,?,"['Beds', 'Table']",Latitude: 42.4288 Longitude: 2.33717,[],['Zone:Porteille de Rotja'],[],"['PR-C 190 Sender de Camprodon a Ribes de Freser', 'PR-C 60 Sender de les quatre ermites', 'GR 10 - sec.2', 'Tour del Canigó']"
5,Shelter,Refugio de las Minas de Liat,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",12 beds,Free to use,2270m,"It is located near the ruins of the Mines of Liat, after tracing the valley of Bagerge (Arroyo Unhola) for 13 kms.",?,?,?,?,?,"['Drinking water', 'Table']",Latitude: 42.7953 Longitude: 0.873799,[],['Zone:Valle de Aran'],[],"['Étangs Long et Rond', 'Cascade de Planque', 'Le cirque des Crabioules', ""Le Pic de la Montagnette depuis l'Hospice de France"", 'Pic de la Sauvegarde', 'Pic de Céciré', ""Grande boucle autour de l'Hospice de France"", 'Pic de Bacanère', 'Les crêtes de la Vallée du Biros', 'Route du Port de Salau', 'Refuge et Port de Vénasque', 'GR 211.2', 'GR 211.3', 'GR 211.5', 'Ramat de Camins. Etapa 11 : Salardú => Bossòst', 'Ramat de Camins. Etapa 12 : Bossòt => Vielha', 'Ramat de Camins. Etapa 13 : Vielha => Refugi de Conangles', 'Ramat de Camins. Etapa 14 : Refugi de Conangles => Barruera', 'Camin reiau']"
6,Shelter,Refugio S BLANCA,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in León']",4 beds,Free to use,1216m,?,?,?,?,?,?,[],Latitude: 42.9465 Longitude: -5.97618,[],[],[],"['Camín Real de la Mesa', 'PR-AS 12 Ruta Brañas de Saliencia', 'GR-207 Camín Real del Puertu Ventana o Ruta de las Reliquias', 'PR-AS 10 Ruta del Cornón', 'PR-AS 15.1 Ruta del Vaḷḷe del Ḷḷagu', 'PR-AS 16.1 Ruta de la Braña de Sousas', 'PR-AS 93 Ruta de los puertos de La Vaḷḷota', 'PR-AS 16 Puerto de Somiedo - Valle del Lago', 'GR 109 - Etapa 13', 'GR 109 - Etapa 14', 'Ruta de los Calderones']"
7,Shelter,Refugio de Pedra Cabalar,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in León']",8 beds,Free to use,1400m,The environment you are in is perfect. Chimney. Condiments . Table. 6 to 8 people could sleep there. ,?,?,?,?,?,"['Drinking water', 'Fireplace', 'Table']",Latitude: 42.7616 Longitude: -6.88715,[],['Zone:Fuentes de Pedra Cabalar'],[],"['Camino natural Cacabelos - Quilós', 'PR-AS 23 Pico Miravalles', 'Ruta da Devesa da Rogueira']"
8,Shelter,Caseta de Aguasalio,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in León']",6 beds,Free to use,1700m,"Small house of about 4X4 m, with door and a window. It has a fireplace and a couple of chairs.",?,?,?,?,?,"['Drinking water', 'Fireplace', 'Table']",Latitude: 42.9633 Longitude: -4.82013,[],['Zone:Fuentes del Cobre'],[],"['PR-PNPE 3 Ruta del Cares', 'PR-PNPE 14 Montó (Valle de Prada)', 'PR-PNPE 16 Collado Jermoso', 'PR-LE 22 Valle del Naranco-Lechada', 'PR-LE 23 Arroyo de Orpiñas', 'PRC-LE 25 Puerto de Horcadas', 'PRC-LE 24 Puerto de San Glorio', 'PRC-LE 33 Matapiojos', 'PR-LE 50 Puerto de Tejedo', 'PR-LE 53 Cañada Real Leonesa Oriental', 'PRC-LE 51 Camino de Llorada', 'Cascada del Mazobre', 'Laguna de las Lomas', 'PR-PNPE 24 Puertos de Aliva - Fuente De', 'PR-LE 34 Arbillos', 'PR-PNPE 23 Horcados Rojos', 'PR-PNPE 27 Brez - Canal de las Arredondas', 'PR-PNPE 15 Senda del Mercadillo', 'PR-PNPE 22 Peña Oviedo (El Cable - Mogrovejo)']"
9,Shelter,Refugi Ventosa i Calvell (lliure),"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",8 beds,Free to use,2213m,"Refuge of high mountain (2,200 m) of the CEC located in the National Park of Aigüestortes and Sant Maurici.",tel:+34 973 641681,https://www.refugiventosa.com,mailto:info@refusonline.com,CEC,?,['Blankets'],Latitude: 42.6053 Longitude: 0.87739,"['Access on foot:A path marked with yellow signs that begins at the same dam will take you to the door of the refuge.\r\rApproximate hours: from 2:00 a.m. to 2:30 p.m.\r\rIf you are not sure consult the map. ', 'Access by car:From Pont is Suert, head towards the National Park of Aigüestortes and Estany de Sant Maurici, after the spa of Caldes de Boí you will find the Cavallers reservoir, where the road is over. ']","[""Zone:Parc Nacional d'Aigüestortes i Estany de Sant Maurici""]",[],"[""Le Pic de la Montagnette depuis l'Hospice de France"", 'Pic de la Sauvegarde', ""Grande boucle autour de l'Hospice de France"", 'Refuge et Port de Vénasque', 'GR 11.19', 'GR 211.3', 'GR 211.5', 'Ramat de Camins. Etapa 8 : Escaló => Llac de SantMaurici => Espot', ""Ramat de Camins. Etapa 9 : Espot => Esterri d'Àneu"", 'Ramat de Camins. Etapa 10 : Esterri d¡Àneu => Salardú', 'Ramat de Camins. Etapa 11 : Salardú => Bossòst', 'Ramat de Camins. Etapa 13 : Vielha => Refugi de Conangles', 'Ramat de Camins. Etapa 14 : Refugi de Conangles => Barruera', 'Ramat de Camins. Etapa 15 : Barruera => El Pont de Suert', 'Camin reiau', 'El Cinquè Llac. Etapa 4 : Les Esgésies => Senterada', 'Ruta 3 Valls. Etapa 1: El Pont de Suert => Erill la Vall', 'Ruta 3 Valls. Etapa 4: Castanesa => El Pont de Suer', 'Ruta 3 Valls. Etapa 3: Aneto => Castanesa', 'Ruta 3 Valls. Etapa 2: Erill la Vall => Aneto', ""El Carrilet d'Estany Gento""]"
