,Place type,Name,Place list,Capacity,Fee,Altitude,Description,Telephone,Website,Email,Hiking association,Guard name(s),Services,Coordinates,Acces,Zones,Emplacement,Nearby routes
0,Campsite,El Burro Blanco,"['Campsite in Spain', 'Campsite in Castile and león', 'Campsite in Salamanca']",? beds,Paid,?,?,tel:+34 626 227 646,http://www.elburroblanco.net,?,?,?,[],Latitude: 40.4749 Longitude: -5.99856,[],[],[],"['Herguijuela-La Alberca', 'Camino del Río', 'Ruta de los lagares rupestres', 'Camino del Agua', 'Camino de Las Raices', 'Camino Asentadero-Bosque de los Espejos', 'Camino de los Prodigios', 'Ruta de los Tres Ríos', 'Sendero de los Miradores de las sierras']"
1,Shelter,Refugio GENTO,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",? beds,Paid,2144m,?,?,?,?,?,?,[],Latitude: 42.5101 Longitude: 0.996583,[],[],[],"['GR 11.19', 'GR 211.5', 'Ramat de Camins. Etapa 2 : Baro => Sort', 'Ramat de Camins. Etapa 4 : Rialp => Tírvia', 'Ramat de Camins. Etapa 5 : Tírvia => Àreu', 'Ramat de Camins. Etapa 7 : Ribera de Cardós => Escaló', 'Ramat de Camins. Etapa 8 : Escaló => Llac de SantMaurici => Espot', ""Ramat de Camins. Etapa 9 : Espot => Esterri d'Àneu"", 'Ramat de Camins. Etapa 10 : Esterri d¡Àneu => Salardú', 'Ramat de Camins. Etapa 11 : Salardú => Bossòst', 'Ramat de Camins. Etapa 14 : Refugi de Conangles => Barruera', 'Ramat de Camins. Etapa 15 : Barruera => El Pont de Suert', 'Camin reiau', 'El Cinquè Llac. Etapa 2 : Peramea => Beranui', 'El Cinquè Llac. Etapa 3 : Beranui => Les Esglésies', 'El Cinquè Llac. Etapa 4 : Les Esgésies => Senterada', 'El Cinquè Llac. Etapa 5 : Senterada => La Pobla de Segur', 'Ruta 3 Valls. Etapa 1: El Pont de Suert => Erill la Vall', 'Ruta 3 Valls. Etapa 3: Aneto => Castanesa', 'Ruta 3 Valls. Etapa 2: Erill la Vall => Aneto', ""El Carrilet d'Estany Gento""]"
2,Shelter,Barraque de les Colomates,"['Shelter in France', 'Shelter in Occitanie', 'Shelter in Pyrénées-Orientales']",4 beds,Free to use,790m,"Fireplace and grills, table inside and on the terrace, recently.",?,?,?,?,?,"['Drinking water', 'Fireplace', 'Table']",Latitude: 42.4808 Longitude: 3.02642,[],['Zone:Bosque Massana'],[],"['GR 2 La Jonquera - Sant Adrià del Besós', 'Walter Benjamin Route', ""Vallée Heureuse - Château d'Ultrera"", ""La Tour Massane par le Chemin de l'Eau"", 'Ruta dels 4 refugis de Tramuntana. Etapa: Refugi del Coll de Banyuls <=> Refugi ""Forn de Calç""', 'Ruta dels 4 refugis de Tramuntana. Etapa: Refugi Refugi ""Forn de Calç"" <=> ""Refugi Les Salines""', 'Ruta dels 4 refugis de Tramuntana. Etapa: Refugi Les Salines <=> Refugi Bassegoda <=> Albanyà']"
3,Campsite,Camping Algamitas,"['Campsite in Spain', 'Campsite in Andalusia', 'Campsite in Seville']",? beds,Paid,?,?,?,?,?,?,?,[],Latitude: 37.0197 Longitude: -5.17504,[],[],[],[]
4,Shelter,Orri de Prats Balaguer,"['Shelter in France', 'Shelter in Occitanie', 'Shelter in Pyrénées-Orientales']",2 beds,Free to use,1500m,"Description: Orry clean and in very good condition, located on the edge of the track, in the second lace of Prats de Balaguer, where you can get water on the same pond.",?,?,?,?,?,"['Drinking water', 'Fireplace']",Latitude: 42.4825 Longitude: 2.17065,[],['Zone:Ravin de Broulla'],[],"['PR-C 190 Sender de Camprodon a Ribes de Freser', 'Boucle des etangs du Carlit (variante 9 lacs)', ""Refuge d'En Beys"", 'GR 10 - sec.2']"
5,Campsite,Camping Navahermosa la Milagra,"['Campsite in Spain', 'Campsite in Castile-la mancha', 'Campsite in Toledo']",? beds,Paid,?,?,?,?,?,?,?,[],Latitude: 39.6209 Longitude: -4.48924,[],[],[],[]
6,Shelter,Refugio de Cóms de Jan,"['Shelter in Andorra', 'Shelter in Canillo']",10 beds,Free to use,2215m,The refuge of Cabana Cóms de Jan is in the Coma de Ransol between the Bony of the Pala de Jan and the Portella de la Coma de Varilles. ,?,?,?,Govern Andorra,?,"['Beds', 'Drinking water', 'Fireplace', 'First aid kit', 'Table']",Latitude: 42.6185 Longitude: 1.63883,[],['Zone:Coma de Ransol'],[],"['GRT 1: La ruta de les 3 nacions', ""GRP d'Andorra: La volta a tot un país"", 'El Riu Pollós', ""Anyós - l'Aldosa: El Camí del Solà"", 'Bony de les Neres', 'Camí de Fontaneda fins a la Collada de la Gallina', 'Camí de Francolí', 'Camí del Gall', 'Camí de Juberri a la Rabassa', 'Camí de la Senyoreta', 'Estany de Querol i Salamandres', 'Camí de les Pardines', 'Camí de Manyat', ""Camí de Percanela - Les Fonts - Pla de l'Estany"", 'Camí de Rocafort', 'Camí del Cardemeller - Font del Bisbe', 'Camí del Coll de les Cases', 'Camí del Jou - Roc de la Cauba', 'Camí del Toll Bullidor', 'Camí Interparroquial de Prats a Engolasters', 'Canya de la Rabassa - Pla de Sorteny', 'Canya de la Rabassa - Pla de Sorteny - Planell del Quer', 'Circuit de les Fonts - Itinerari llarg', 'Collada de la Maiana', ""Collada de Muntaner - Pic d'Enclar"", 'El Cubil Petit', 'El Siscaró - Estany de Baix', ""Els Cortals d'Encamp, refugi i estany d'Ensagents"", ""Itinerari de l'Estany Blau"", 'Estany de Juclà', 'Estany de la Nou', 'Estany de les Abelletes', 'Estanys de Tristaina', ""Estanys de l'Angonella"", 'Refugi i Estanys de Montmalús', 'Estanys i Refugi de Cabana Sorda', 'Estanys i Refugi de la Vall del Riu', 'Fonts del Campeà', 'Itinerari del Fontverd', 'Itinerari de la Vall del Madriu', 'Itinerari de Perafita', ""Itinerari d'Entremesaigües"", ""Itinerari per la Vall d'Enclar - Prats del Paquetaire"", ""L'Alt del Griu"", 'Llac de Pessons', ""Llac d'Engolasters"", 'Pic de Casamanya', ""Camí de l'alt de Comapedrosa (Parc natural del Comapedrosa)"", 'Pic de la Font Blanca', 'Pic de la Serrera', 'Portella Blanca', 'Prat primer per Palomera', 'Refugi i Cap dels Agols', 'Ruta del Ferro', 'Ruta Verdaguer - Estany de Creussans', 'Tomb de Llorts a Sedornet', 'Tomb de Puntal - Rialb - La Rabassa', 'Tomb del Turer', 'Rec del Solà', 'GR 10A', 'Ruta de senderisme cultural: El Camí', 'Ballade de la chapelle Saint-Barthelemy', ""Camí de l'Ossa"", 'Le chemin des Orris', 'GR 11.10', ""Camí de l'Últim Càtar"", 'HRP Variante 30-31.1', 'Pic de Ribuls', 'Senderisme: Alta Ruta Pirenaica', 'Ruta de senderisme: Coronallacs', 'Camí saludable dels drets humans', 'Circular a la parròquia de Canillo', ""Les Pardines fins l'estany de l'Illa, passant pel refugi i la Collada dels Agols"", 'Estany Esbalçat', 'Pic del Port Vell', ""Estany de Montmantell i Pic del Pla de l'Estany"", 'La Margineda-Pic Bony de la Pica-Sispony-la Margineda', 'Tomb de Prat Primer', 'Tomb Lauredià (Itinerari mitjà)', 'Tomb Lauredià(Itinerari llarg)', ""Itinerari de l'Obaga"", 'Itinerari Coll Jovell', 'De Prats al santuari de Meritxell']"
7,Shelter,Refugio OTAL,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",6 beds,Paid,1642m,Log cabin,?,?,?,?,?,[],Latitude: 42.6913 Longitude: -0.152198,[],[],[],"['GR 11 nueva variante', 'Ruta circular de los Infiernos-Ibones Azules-Bachimañaa', 'Cirque de Gavarnie', 'Col le Pourteillou', 'Les Lacs près du Col des Espécières', 'Cabane des Soldats', 'Refuge des Espugeuttes et Pimené', 'Chemin des Cascades dans le Val de Jéret', ""Lac d'Arratille"", 'Pic de la Grande Fache', 'Tour des lacs dans la vallée du Marcadau', 'Lac de Gaube et refuge des Oulettes de Gaube', ""Refuge et Lac d'Estom"", 'Refuge de la Brèche de Roland', 'Col et Lac de la Bernatoire', 'Refuge de Baysselance et Petit Vignemale', 'Plateau de Saugué', ""Lac de Cestrède et Lac d'Antarrouyes"", 'Cirque du Lis', 'Col de Pierrefitte', ""Vers la Hourquette d'Alans par le Cirque d'Estaubé"", 'Pic de Campbieil', 'GR 10 -variante', 'HRP Variante 16.2']"
8,Campsite,Camping Camariñas,"['Campsite in Spain', 'Campsite in Galicia', 'Campsite in A Coruña']",? beds,Paid,?,?,?,?,?,?,?,[],Latitude: 43.162 Longitude: -9.18583,[],[],[],['Camiño dos faros - 8 etapas - (Malpica-Fisterra)']
9,Shelter,Corral de Prado Largo,"['Shelter in Spain', 'Shelter in Andalusia', 'Shelter in Granada']",6 beds,Free to use,1990m,"It is located in the region of Marquesado del Zenete, north face of Sierra Nevada, at almost 2000m altitude north of Puerto del Lobo (between the peaks of San Juan and Morrón del Medio Día) It can be accessed from Aldeire, going up the valley of the Benéjar River to the confluence of the ravines of the Chorreras and the Reocodos, then ascends through the firewall of the hill that separates both ravines until reaching a track at the 1970m level, taking it to the right you reach the refuge in little more than a kilometer. On the left you will reach the shelter of the Chorreras. ",?,?,?,?,?,"['Drinking water', 'Fireplace', 'Table']",Latitude: 37.1086 Longitude: -3.08818,[],"['Zone:Sierra Nevada, Marquesado del Zenete']",[],"['GR240', 'Trevelez-Siete Lagunas', 'Trevelez-Alto de Chorillo', 'Senderos de Los Pradillos']"
